-19.06796608	-1.59987340	1.58533907
-18.76796608	-1.59987340	1.58533907
-18.46796608	-1.59987340	1.52430701
-18.16796608	-1.59987340	1.58533907
-17.86796608	-1.59987340	1.58533907
-17.56796608	-1.59987340	1.58533907
-17.26796608	-1.59987340	1.60640693
-16.96796608	-1.59987340	1.60640693
-16.66796608	-1.59987340	1.60640693
-16.36796608	-1.59987340	1.58725262
-16.06796608	-1.59987340	1.55329871
-15.76796608	-1.59987340	1.51572180
-15.46796608	-1.59987340	1.58725262
-15.16796608	-1.59987340	1.46851826
-14.86796608	-1.59987340	1.57054698
-14.56796608	-1.59987340	1.55329871
-14.26796608	-1.59987340	1.07917440
-13.96796608	-1.59987340	1.09430337
-13.66796608	-1.59987340	1.10947585
-13.36796608	-1.59987340	1.06256938
-13.06796608	-1.59987340	1.09430337
-12.76796608	-1.59987340	1.10947585
-12.46796608	-1.59987340	1.13186014
-12.16796608	-1.59987340	1.10947585
-11.86796608	-1.59987340	1.13186014
-11.56796608	-1.59987340	1.11457622
-11.26796608	-1.59987340	1.08408022
-10.96796608	-1.59987340	1.04050660
-10.66796608	-1.59987340	1.11457622
-10.36796608	-1.59987340	0.85558707
-10.06796608	-1.59987340	0.76449959
-9.76796608	-1.59987340	0.85558707
-9.46796608	-1.59987340	0.87725389
-9.16796608	-1.59987340	0.85320163
-8.86796608	-1.59987340	0.82664400
-8.56796608	-1.59987340	0.70414931
-8.26796608	-1.59987340	0.66693085
-7.96796608	-1.59987340	0.70414931
-7.66796608	-1.59987340	0.71228755
-7.36796608	-1.59987340	0.69250816
-7.06796608	-1.59987340	0.61223042
-6.76796608	-1.59987340	0.61823285
-6.46796608	-1.59987340	0.59442043
-6.16796608	-1.59987340	0.52296740
-5.86796608	-1.59987340	0.52859128
-5.56796608	-1.59987340	0.52144170
-5.26796608	-1.59987340	0.45744088
-4.96796608	-1.59987340	0.46512651
-4.66796608	-1.59987340	0.37640429
-4.36796608	-1.59987340	0.40492120
-4.06796608	-1.59987340	0.37640429
-3.76796608	-1.59987340	0.32621211
-3.46796608	-1.59987340	0.36799711
-3.16796608	-1.59987340	0.28554094
-2.86796608	-1.59987340	0.22324710
-2.56796608	-1.59987340	0.28870803
-2.26796608	-1.59987340	0.25989783
-1.96796608	-1.59987340	0.22145921
-1.66796608	-1.59987340	0.17656779
-1.36796608	-1.59987340	0.06166679
-1.06796608	-1.59987340	0.03461621
-0.76796608	-1.59987340	0.00779798
-0.46796608	-1.59987340	0.01781987
-0.16796608	-1.59987340	-0.06515684
0.13203392	-1.59987340	0.00832361
0.43203392	-1.59987340	-0.00459474
0.73203392	-1.59987340	-0.03933817
1.03203392	-1.59987340	-0.06958318
1.33203392	-1.59987340	-0.09662074
1.63203392	-1.59987340	-0.13237453
1.93203392	-1.59987340	-0.14163214
2.23203392	-1.59987340	-0.30842900
2.53203392	-1.59987340	-0.19756889
